A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: ViT (scratch) (seed=2)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=1.0)) | Heads: 263,941 params
global_step=58104, episodic_return=0.0, episodic_length=528
global_step=58776, episodic_return=2.0, episodic_length=842
global_step=58792, episodic_return=0.0, episodic_length=525
global_step=58824, episodic_return=3.0, episodic_length=1106
global_step=58904, episodic_return=1.0, episodic_length=717
global_step=58992, episodic_return=2.0, episodic_length=833
global_step=59192, episodic_return=0.0, episodic_length=551
global_step=59528, episodic_return=2.0, episodic_length=909
global_step=59744, episodic_return=8.0, episodic_length=1415
global_step=59912, episodic_return=0.0, episodic_length=585
global_step=59976, episodic_return=0.0, episodic_length=548
global_step=60496, episodic_return=2.0, episodic_length=832
global_step=60824, episodic_return=2.0, episodic_length=916
global_step=60880, episodic_return=0.0, episodic_length=584
global_step=61192, episodic_return=4.0, episodic_length=1202
global_step=61384, episodic_return=3.0, episodic_length=1102
update 60/9765 | step 61440/10000000 | SPS 490 | pg_loss -0.0037 | v_loss 0.0232 | entropy 1.3454
global_step=61560, episodic_return=2.0, episodic_length=839
global_step=61560, episodic_return=0.0, episodic_length=543
global_step=61592, episodic_return=3.0, episodic_length=1034
global_step=62352, episodic_return=1.0, episodic_length=733
global_step=62472, episodic_return=0.0, episodic_length=565
global_step=62480, episodic_return=4.0, episodic_length=1252
global_step=62640, episodic_return=0.0, episodic_length=551
global_step=62920, episodic_return=1.0, episodic_length=694
global_step=63312, episodic_return=3.0, episodic_length=1058
global_step=63320, episodic_return=2.0, episodic_length=872
global_step=63400, episodic_return=0.0, episodic_length=528
global_step=63608, episodic_return=5.0, episodic_length=1390
global_step=63704, episodic_return=0.0, episodic_length=532
global_step=64096, episodic_return=2.0, episodic_length=828
global_step=64288, episodic_return=1.0, episodic_length=695
global_step=64664, episodic_return=0.0, episodic_length=523
global_step=64792, episodic_return=0.0, episodic_length=563
global_step=65336, episodic_return=3.0, episodic_length=1028
global_step=65344, episodic_return=5.0, episodic_length=1452
global_step=65424, episodic_return=3.0, episodic_length=1069
global_step=65488, episodic_return=4.0, episodic_length=1042
global_step=66056, episodic_return=2.0, episodic_length=907
global_step=66088, episodic_return=3.0, episodic_length=1000
global_step=66336, episodic_return=2.0, episodic_length=855
global_step=66400, episodic_return=0.0, episodic_length=547
global_step=66416, episodic_return=0.0, episodic_length=533
global_step=66832, episodic_return=3.0, episodic_length=1019
global_step=67072, episodic_return=2.0, episodic_length=829
global_step=67136, episodic_return=0.0, episodic_length=535
global_step=67400, episodic_return=3.0, episodic_length=951
global_step=67408, episodic_return=0.0, episodic_length=544
global_step=67504, episodic_return=0.0, episodic_length=561
global_step=67616, episodic_return=0.0, episodic_length=608
global_step=68568, episodic_return=4.0, episodic_length=1248
global_step=68592, episodic_return=0.0, episodic_length=544
global_step=68768, episodic_return=2.0, episodic_length=820
global_step=69448, episodic_return=3.0, episodic_length=1040
global_step=69520, episodic_return=4.0, episodic_length=1362
global_step=69536, episodic_return=3.0, episodic_length=1080
global_step=69752, episodic_return=0.0, episodic_length=600
global_step=70256, episodic_return=2.0, episodic_length=857
global_step=70392, episodic_return=9.0, episodic_length=1656
global_step=70472, episodic_return=2.0, episodic_length=872
global_step=70600, episodic_return=0.0, episodic_length=552
global_step=70808, episodic_return=0.0, episodic_length=523
global_step=70864, episodic_return=9.0, episodic_length=1636
global_step=71072, episodic_return=2.0, episodic_length=823
global_step=71504, episodic_return=3.0, episodic_length=1008
update 70/9765 | step 71680/10000000 | SPS 491 | pg_loss 0.0014 | v_loss 0.0459 | entropy 1.2611
global_step=71944, episodic_return=2.0, episodic_length=868
global_step=72032, episodic_return=2.0, episodic_length=841
global_step=72088, episodic_return=2.0, episodic_length=814
global_step=72408, episodic_return=2.0, episodic_length=797
global_step=72544, episodic_return=0.0, episodic_length=516
global_step=72576, episodic_return=3.0, episodic_length=994
global_step=72800, episodic_return=2.0, episodic_length=859
global_step=73056, episodic_return=0.0, episodic_length=568
global_step=73336, episodic_return=1.0, episodic_length=625
global_step=73480, episodic_return=4.0, episodic_length=1305
global_step=73552, episodic_return=0.0, episodic_length=528
global_step=73872, episodic_return=0.0, episodic_length=556
global_step=74016, episodic_return=2.0, episodic_length=820
global_step=74136, episodic_return=0.0, episodic_length=536
global_step=74352, episodic_return=0.0, episodic_length=507
global_step=74416, episodic_return=4.0, episodic_length=1208
global_step=75152, episodic_return=0.0, episodic_length=503
global_step=75376, episodic_return=0.0, episodic_length=529
global_step=75440, episodic_return=5.0, episodic_length=1431
global_step=75456, episodic_return=0.0, episodic_length=540
global_step=75856, episodic_return=3.0, episodic_length=1011
global_step=76064, episodic_return=3.0, episodic_length=1040
global_step=76424, episodic_return=5.0, episodic_length=1430
global_step=77048, episodic_return=2.0, episodic_length=800
global_step=77120, episodic_return=10.0, episodic_length=1838
global_step=77152, episodic_return=0.0, episodic_length=552
global_step=77392, episodic_return=3.0, episodic_length=1009
global_step=77584, episodic_return=4.0, episodic_length=1216
global_step=77848, episodic_return=4.0, episodic_length=1201
global_step=77864, episodic_return=3.0, episodic_length=1017
global_step=78304, episodic_return=1.0, episodic_length=651
global_step=78416, episodic_return=3.0, episodic_length=997
global_step=78768, episodic_return=2.0, episodic_length=826
global_step=78896, episodic_return=0.0, episodic_length=523
global_step=79000, episodic_return=2.0, episodic_length=800
global_step=79200, episodic_return=2.0, episodic_length=815
global_step=79472, episodic_return=2.0, episodic_length=825
global_step=79512, episodic_return=4.0, episodic_length=1197
global_step=79960, episodic_return=2.0, episodic_length=841
global_step=80016, episodic_return=2.0, episodic_length=800
global_step=80312, episodic_return=0.0, episodic_length=580
global_step=80408, episodic_return=2.0, episodic_length=832
global_step=80496, episodic_return=2.0, episodic_length=822
global_step=80544, episodic_return=0.0, episodic_length=536
global_step=80624, episodic_return=2.0, episodic_length=829
global_step=81424, episodic_return=1.0, episodic_length=727
global_step=81624, episodic_return=2.0, episodic_length=839
global_step=81896, episodic_return=4.0, episodic_length=1196
global_step=81904, episodic_return=1.0, episodic_length=718
update 80/9765 | step 81920/10000000 | SPS 493 | pg_loss -0.0067 | v_loss 0.0381 | entropy 1.2180
global_step=81976, episodic_return=2.0, episodic_length=833
global_step=82224, episodic_return=2.0, episodic_length=810
global_step=82672, episodic_return=4.0, episodic_length=1131
global_step=82848, episodic_return=4.0, episodic_length=1165
global_step=83432, episodic_return=3.0, episodic_length=1004
global_step=83592, episodic_return=2.0, episodic_length=853
global_step=83632, episodic_return=3.0, episodic_length=1004
global_step=83936, episodic_return=3.0, episodic_length=1020
global_step=84232, episodic_return=3.0, episodic_length=1012
global_step=84264, episodic_return=2.0, episodic_length=809
global_step=84464, episodic_return=2.0, episodic_length=803
global_step=84680, episodic_return=5.0, episodic_length=1362
global_step=85024, episodic_return=2.0, episodic_length=813
global_step=85312, episodic_return=0.0, episodic_length=559
global_step=85464, episodic_return=3.0, episodic_length=917
global_step=85584, episodic_return=3.0, episodic_length=1003
global_step=85856, episodic_return=2.0, episodic_length=811
global_step=85928, episodic_return=3.0, episodic_length=1009
global_step=86096, episodic_return=0.0, episodic_length=540
global_step=86512, episodic_return=0.0, episodic_length=537
global_step=86648, episodic_return=3.0, episodic_length=986
